Transactions,Min Transactions Required
"[(0, 1, 538), (1, 0, 568)]",1
"[(0, 1, 832), (1, 0, 540)]",1
"[(1, 0, 959)]",1
"[(1, 0, 143)]",1
"[(0, 1, 700)]",1
"[(1, 0, 815)]",1
"[(0, 1, 566)]",1
"[(1, 0, 1807)]",1
"[(0, 1, 1078)]",1
"[(0, 1, 1567)]",1
"[(0, 1, 455), (1, 0, 1396), (2, 0, 1715)]",2
"[(0, 1, 1008), (1, 0, 1260), (2, 0, 1385)]",2
"[(0, 1, 469), (1, 2, 1928), (2, 0, 1478)]",2
"[(1, 2, 1310), (2, 0, 1893)]",2
"[(1, 0, 1986), (2, 1, 104)]",2
"[(0, 3, 436), (2, 1, 1965)]",2
"[(2, 3, 2000), (0, 1, 1384)]",2
"[(1, 0, 1034), (2, 0, 1938)]",2
"[(0, 1, 1983), (1, 2, 1984), (2, 0, 1985)]",2
"[(2, 0, 342), (2, 1, 1889)]",2
"[(0, 1, 1321), (1, 0, 856), (2, 3, 103), (3, 0, 1232)]",3
"[(0, 2, 177), (1, 4, 1411), (1, 3, 168)]",3
"[(0, 1, 1388), (1, 2, 1660), (2, 3, 1535), (3, 0, 687)]",3
"[(0, 4, 140), (1, 2, 466), (3, 1, 488)]",3
"[(4, 1, 767), (3, 2, 852), (0, 4, 845)]",3
"[(3, 1, 134), (0, 2, 1974), (0, 1, 1135)]",3
"[(1, 0, 308), (2, 1, 317), (1, 3, 1771)]",3
"[(1, 2, 919), (2, 3, 548), (2, 0, 1946)]",3
"[(2, 0, 772), (3, 0, 754), (1, 2, 160)]",3
"[(2, 3, 1270), (1, 0, 1554), (4, 0, 1913)]",3
"[(2, 3, 864), (2, 4, 238), (1, 0, 596)]",3
"[(3, 2, 1121), (1, 0, 160), (4, 2, 835)]",3
"[(0, 1, 182), (2, 3, 526), (2, 1, 738)]",3
"[(0, 1, 912), (1, 0, 281), (2, 3, 1411), (3, 4, 1983), (4, 0, 735)]",4
"[(0, 1, 349), (1, 0, 261), (2, 3, 408), (3, 4, 738), (4, 0, 1582)]",4
"[(1, 2, 163), (2, 4, 996), (2, 1, 1889), (3, 0, 1912)]",4
"[(1, 0, 1061), (3, 0, 598), (4, 2, 1398), (4, 0, 1831)]",4
"[(0, 1, 513), (4, 2, 1745), (3, 4, 1347), (0, 4, 1576)]",4
"[(4, 1, 1206), (3, 0, 1199), (1, 0, 1336), (4, 2, 1117)]",4
"[(0, 2, 1146), (0, 3, 1453), (1, 0, 1324), (2, 4, 1064)]",4
"[(0, 1, 149), (4, 0, 1293), (4, 2, 1513), (3, 4, 349)]",4
"[(1, 4, 1235), (1, 2, 286), (4, 3, 494), (0, 4, 1661)]",4
"[(1, 2, 1259), (2, 4, 1650), (3, 1, 123), (2, 0, 975)]",4
"[(4, 0, 1972), (0, 1, 492), (2, 4, 279), (1, 3, 308)]",4
"[(1, 2, 724), (3, 4, 718), (4, 5, 1891), (6, 0, 721)]",4
"[(3, 4, 1746), (5, 1, 277), (2, 1, 150), (5, 3, 562), (0, 4, 144)]",5
"[(0, 5, 301), (2, 4, 1932), (0, 3, 1913), (3, 1, 1744), (1, 3, 228)]",5
"[(4, 6, 1486), (3, 5, 182), (0, 6, 130), (3, 1, 1085), (1, 2, 361)]",5
"[(5, 4, 481), (0, 2, 1076), (3, 1, 128), (3, 5, 1553), (0, 3, 346)]",5
"[(5, 4, 1686), (3, 4, 1066), (6, 1, 508), (5, 1, 1305), (2, 0, 892)]",5
"[(1, 0, 768), (5, 4, 1200), (6, 2, 1378), (3, 0, 1712), (5, 2, 211)]",5
"[(0, 6, 1926), (3, 4, 103), (1, 6, 1621), (4, 5, 460), (0, 2, 1533)]",5
"[(5, 1, 546), (0, 3, 1988), (4, 5, 1722), (1, 2, 198), (1, 0, 1832)]",5
"[(2, 0, 1888), (3, 1, 878), (0, 1, 1732), (4, 1, 1535), (4, 5, 982)]",5
"[(4, 3, 739), (6, 0, 1861), (2, 6, 1751), (2, 4, 1524), (1, 5, 175)]",5
"[(4, 2, 292), (3, 1, 1975), (0, 5, 535), (6, 5, 1153), (5, 2, 515), (4, 5, 891)]",6
"[(0, 4, 1684), (7, 3, 1882), (0, 6, 1370), (6, 7, 1892), (4, 5, 849), (2, 1, 1235)]",6
"[(3, 6, 1054), (4, 2, 941), (1, 5, 1305), (5, 2, 409), (0, 4, 1370), (0, 3, 176)]",6
"[(1, 6, 616), (3, 5, 1848), (1, 4, 447), (2, 5, 1624), (5, 0, 1122), (0, 6, 1561)]",6
