Transactions,MinCashFlow,ExecutionTime
"[(0, 1, 538), (1, 0, 568)]",1,0.0001308917999267578
"[(0, 1, 832), (1, 0, 540)]",1,9.393692016601562e-05
"[(1, 0, 959)]",1,6.246566772460938e-05
"[(1, 0, 143)]",1,6.413459777832031e-05
"[(0, 1, 700)]",1,6.0558319091796875e-05
"[(1, 0, 815)]",1,6.103515625e-05
"[(0, 1, 566)]",1,7.486343383789062e-05
"[(1, 0, 1807)]",1,5.054473876953125e-05
"[(0, 1, 1078)]",1,4.673004150390625e-05
"[(0, 1, 1567)]",1,4.5299530029296875e-05
"[(0, 1, 455), (1, 0, 1396), (2, 0, 1715)]",2,9.417533874511719e-05
"[(0, 1, 1008), (1, 0, 1260), (2, 0, 1385)]",2,7.867813110351562e-05
"[(0, 1, 469), (1, 2, 1928), (2, 0, 1478)]",2,7.748603820800781e-05
"[(1, 2, 1310), (2, 0, 1893)]",2,6.341934204101562e-05
"[(1, 0, 1986), (2, 1, 104)]",2,6.29425048828125e-05
"[(0, 3, 436), (2, 1, 1965)]",2,6.437301635742188e-05
"[(2, 3, 2000), (0, 1, 1384)]",2,6.270408630371094e-05
"[(1, 0, 1034), (2, 0, 1938)]",2,7.462501525878906e-05
"[(0, 1, 1983), (1, 2, 1984), (2, 0, 1985)]",2,7.772445678710938e-05
"[(2, 0, 342), (2, 1, 1889)]",2,6.222724914550781e-05
"[(0, 1, 1321), (1, 0, 856), (2, 3, 103), (3, 0, 1232)]",3,9.632110595703125e-05
"[(0, 2, 177), (1, 4, 1411), (1, 3, 168)]",3,8.58306884765625e-05
"[(0, 1, 1388), (1, 2, 1660), (2, 3, 1535), (3, 0, 687)]",3,9.584426879882812e-05
"[(0, 4, 140), (1, 2, 466), (3, 1, 488)]",3,8.225440979003906e-05
"[(4, 1, 767), (3, 2, 852), (0, 4, 845)]",3,0.0001404285430908203
"[(3, 1, 134), (0, 2, 1974), (0, 1, 1135)]",3,8.940696716308594e-05
"[(1, 0, 308), (2, 1, 317), (1, 3, 1771)]",3,9.703636169433594e-05
"[(1, 2, 919), (2, 3, 548), (2, 0, 1946)]",3,0.00010132789611816406
"[(2, 0, 772), (3, 0, 754), (1, 2, 160)]",3,9.369850158691406e-05
"[(2, 3, 1270), (1, 0, 1554), (4, 0, 1913)]",3,0.00010633468627929688
"[(2, 3, 864), (2, 4, 238), (1, 0, 596)]",3,9.179115295410156e-05
"[(3, 2, 1121), (1, 0, 160), (4, 2, 835)]",3,8.416175842285156e-05
"[(0, 1, 182), (2, 3, 526), (2, 1, 738)]",3,8.797645568847656e-05
"[(0, 1, 912), (1, 0, 281), (2, 3, 1411), (3, 4, 1983), (4, 0, 735)]",4,0.00011801719665527344
"[(0, 1, 349), (1, 0, 261), (2, 3, 408), (3, 4, 738), (4, 0, 1582)]",4,0.00012302398681640625
"[(1, 2, 163), (2, 4, 996), (2, 1, 1889), (3, 0, 1912)]",4,0.00010275840759277344
"[(1, 0, 1061), (3, 0, 598), (4, 2, 1398), (4, 0, 1831)]",4,0.0002574920654296875
"[(0, 1, 513), (4, 2, 1745), (3, 4, 1347), (0, 4, 1576)]",4,0.00011420249938964844
"[(4, 1, 1206), (3, 0, 1199), (1, 0, 1336), (4, 2, 1117)]",4,0.00010442733764648438
